node,from,msg_id,hop,ttl,payload,timestamp
node95,172.20.0.19,249fff74-e05f-4deb-9b44-ba42436478de,8,3,"{'temperature': 23.35, 'humidity': 40.56}",1746643951.3910418
node109,172.20.0.24,249fff74-e05f-4deb-9b44-ba42436478de,9,2,"{'temperature': 23.35, 'humidity': 40.56}",1746643951.3912082
node105,172.20.0.12,249fff74-e05f-4deb-9b44-ba42436478de,10,1,"{'temperature': 23.35, 'humidity': 40.56}",1746643951.3929665
node91,172.20.0.28,249fff74-e05f-4deb-9b44-ba42436478de,8,3,"{'temperature': 23.35, 'humidity': 40.56}",1746643951.393403
node109,172.20.0.24,249fff74-e05f-4deb-9b44-ba42436478de,9,2,"{'temperature': 23.35, 'humidity': 40.56}",1746643951.4916835
node95,172.20.0.19,249fff74-e05f-4deb-9b44-ba42436478de,8,3,"{'temperature': 23.35, 'humidity': 40.56}",1746643951.4926407
node98,172.20.0.24,249fff74-e05f-4deb-9b44-ba42436478de,9,2,"{'temperature': 23.35, 'humidity': 40.56}",1746643951.49274
node105,172.20.0.12,249fff74-e05f-4deb-9b44-ba42436478de,10,1,"{'temperature': 23.35, 'humidity': 40.56}",1746643951.4937277
node100,172.20.0.12,249fff74-e05f-4deb-9b44-ba42436478de,10,1,"{'temperature': 23.35, 'humidity': 40.56}",1746643951.4938607
node109,172.20.0.24,249fff74-e05f-4deb-9b44-ba42436478de,9,2,"{'temperature': 23.35, 'humidity': 40.56}",1746643951.593018
node98,172.20.0.24,249fff74-e05f-4deb-9b44-ba42436478de,9,2,"{'temperature': 23.35, 'humidity': 40.56}",1746643951.593672
node105,172.20.0.12,249fff74-e05f-4deb-9b44-ba42436478de,10,1,"{'temperature': 23.35, 'humidity': 40.56}",1746643951.594698
node100,172.20.0.12,249fff74-e05f-4deb-9b44-ba42436478de,10,1,"{'temperature': 23.35, 'humidity': 40.56}",1746643951.5947645
node109,172.20.0.24,249fff74-e05f-4deb-9b44-ba42436478de,9,2,"{'temperature': 23.35, 'humidity': 40.56}",1746643951.6939301
node98,172.20.0.24,249fff74-e05f-4deb-9b44-ba42436478de,9,2,"{'temperature': 23.35, 'humidity': 40.56}",1746643951.694753
node100,172.20.0.12,249fff74-e05f-4deb-9b44-ba42436478de,10,1,"{'temperature': 23.35, 'humidity': 40.56}",1746643951.6956868
node105,172.20.0.12,249fff74-e05f-4deb-9b44-ba42436478de,10,1,"{'temperature': 23.35, 'humidity': 40.56}",1746643951.6957881
node112,172.20.0.25,249fff74-e05f-4deb-9b44-ba42436478de,11,0,"{'temperature': 23.35, 'humidity': 40.56}",1746643951.697869
node98,172.20.0.24,249fff74-e05f-4deb-9b44-ba42436478de,9,2,"{'temperature': 23.35, 'humidity': 40.56}",1746643951.7958438
node100,172.20.0.12,249fff74-e05f-4deb-9b44-ba42436478de,10,1,"{'temperature': 23.35, 'humidity': 40.56}",1746643951.7967472
node93,172.20.0.32,cf634fc2-dc8d-403e-9167-49b403d6b056,7,4,"{'temperature': 28.67, 'humidity': 51.88}",1746643961.1944342
node93,172.20.0.32,cf634fc2-dc8d-403e-9167-49b403d6b056,7,4,"{'temperature': 28.67, 'humidity': 51.88}",1746643961.2963
node91,172.20.0.28,cf634fc2-dc8d-403e-9167-49b403d6b056,8,3,"{'temperature': 28.67, 'humidity': 51.88}",1746643961.396044
node93,172.20.0.32,cf634fc2-dc8d-403e-9167-49b403d6b056,7,4,"{'temperature': 28.67, 'humidity': 51.88}",1746643961.3979352
node91,172.20.0.28,cf634fc2-dc8d-403e-9167-49b403d6b056,8,3,"{'temperature': 28.67, 'humidity': 51.88}",1746643961.497994
node93,172.20.0.32,cf634fc2-dc8d-403e-9167-49b403d6b056,7,4,"{'temperature': 28.67, 'humidity': 51.88}",1746643961.498916
node95,172.20.0.9,cf634fc2-dc8d-403e-9167-49b403d6b056,9,2,"{'temperature': 28.67, 'humidity': 51.88}",1746643961.4989307
